Albanian_BIN|Albanian, binary sort
Albanian_BIN2|Albanian, binary code point comparison sort
Albanian_CI_AI|Albanian, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Albanian_CI_AI_WS|Albanian, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Albanian_CI_AI_KS|Albanian, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Albanian_CI_AI_KS_WS|Albanian, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Albanian_CI_AS|Albanian, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Albanian_CI_AS_WS|Albanian, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Albanian_CI_AS_KS|Albanian, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Albanian_CI_AS_KS_WS|Albanian, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Albanian_CS_AI|Albanian, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Albanian_CS_AI_WS|Albanian, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Albanian_CS_AI_KS|Albanian, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Albanian_CS_AI_KS_WS|Albanian, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Albanian_CS_AS|Albanian, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Albanian_CS_AS_WS|Albanian, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Albanian_CS_AS_KS|Albanian, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Albanian_CS_AS_KS_WS|Albanian, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Albanian_100_BIN|Albanian-100, binary sort
Albanian_100_BIN2|Albanian-100, binary code point comparison sort
Albanian_100_CI_AI|Albanian-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Albanian_100_CI_AI_WS|Albanian-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Albanian_100_CI_AI_KS|Albanian-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Albanian_100_CI_AI_KS_WS|Albanian-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Albanian_100_CI_AS|Albanian-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Albanian_100_CI_AS_WS|Albanian-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Albanian_100_CI_AS_KS|Albanian-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Albanian_100_CI_AS_KS_WS|Albanian-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Albanian_100_CS_AI|Albanian-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Albanian_100_CS_AI_WS|Albanian-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Albanian_100_CS_AI_KS|Albanian-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Albanian_100_CS_AI_KS_WS|Albanian-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Albanian_100_CS_AS|Albanian-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Albanian_100_CS_AS_WS|Albanian-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Albanian_100_CS_AS_KS|Albanian-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Albanian_100_CS_AS_KS_WS|Albanian-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Albanian_100_CI_AI_SC|Albanian-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Albanian_100_CI_AI_WS_SC|Albanian-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Albanian_100_CI_AI_KS_SC|Albanian-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Albanian_100_CI_AI_KS_WS_SC|Albanian-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Albanian_100_CI_AS_SC|Albanian-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Albanian_100_CI_AS_WS_SC|Albanian-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Albanian_100_CI_AS_KS_SC|Albanian-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Albanian_100_CI_AS_KS_WS_SC|Albanian-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Albanian_100_CS_AI_SC|Albanian-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Albanian_100_CS_AI_WS_SC|Albanian-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Albanian_100_CS_AI_KS_SC|Albanian-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Albanian_100_CS_AI_KS_WS_SC|Albanian-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Albanian_100_CS_AS_SC|Albanian-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Albanian_100_CS_AS_WS_SC|Albanian-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Albanian_100_CS_AS_KS_SC|Albanian-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
